Charc,Movie,NewChar
",Sheela,Rajshree Thakur",Hava Aney Dey,"['Sheela', 'Rajshree Thakur']"
",Raghu,Emraan Hashmi,Vikram Bhatt,Mahesh Bhatt",Mr. X,"['Raghu', 'Emraan Hashmi', 'Vikram Bhatt', 'Mahesh Bhatt']"
",Amjad Khan,Leena Chandavarkar",Aafat,"['Amjad Khan', 'Leena Chandavarkar']"
",Akshay Kumar,Anushka Sharma,Anupama Chopra,Sukanya Verma,Bhushan Kumar,Rishi Kapoor",Patiala House,"['Akshay Kumar', 'Anushka Sharma', 'Anupama Chopra', 'Sukanya Verma', 'Bhushan Kumar', 'Rishi Kapoor']"
",Rajesh Khanna,Leena Chandavarkar,Nasir Ahmed,Anand Bakshi,Pradeep Kumar,Gurnam Singh",Mehboob Ki Mehndi,"['Rajesh Khanna', 'Leena Chandavarkar', 'Nasir Ahmed', 'Anand Bakshi', 'Pradeep Kumar', 'Gurnam Singh']"
",Vinod Khanna,Ranjeet,Amjad Khan",Do Shikaari,"['Vinod Khanna', 'Ranjeet', 'Amjad Khan']"
",Satish Kaushik",Dekh Tamasha Dekh,['Satish Kaushik']
",Juhi Chawla,Lillete Dubey,Onir,Sanjay Suri,Victor Banerjee,Purab Kohli",My Brother...Nikhil,"['Juhi Chawla', 'Lillete Dubey', 'Onir', 'Sanjay Suri', 'Victor Banerjee', 'Purab Kohli']"
",Rajesh Khanna,Asha Parekh,Shakti Samanta,Kishore Kumar,Prem Chopra,Asha Bhosle,Nasir Hussain,Anand Bakshi,Rex Harrison,Barbara Stanwyck",Kati Patang,"['Rajesh Khanna', 'Asha Parekh', 'Shakti Samanta', 'Kishore Kumar', 'Prem Chopra', 'Asha Bhosle', 'Nasir Hussain', 'Anand Bakshi', 'Rex Harrison', 'Barbara Stanwyck']"
",Kavita Lankesh",Duniya,['Kavita Lankesh']
",Rani Mukerji,Bobby Deol,Anu Malik",Badal,"['Rani Mukerji', 'Bobby Deol', 'Anu Malik']"
",Arbaaz Khan,Rohan Sippy,Satish Shah,Abhishek Bachchan",Kuch Naa Kaho,"['Arbaaz Khan', 'Rohan Sippy', 'Satish Shah', 'Abhishek Bachchan']"
",Joseph Campbell,Thomas Carlyle,Ernest Becker,Lord Raglan,Vladimir Propp,Alvin York,Karl Marx,Sophie Scholl,Chuck Yeager,Fernand Braudel",Hero,"['Joseph Campbell', 'Thomas Carlyle', 'Ernest Becker', 'Lord Raglan', 'Vladimir Propp', 'Alvin York', 'Karl Marx', 'Sophie Scholl', 'Chuck Yeager', 'Fernand Braudel']"
",Dhanush,Joginder Tuteja",Sannata,"['Dhanush', 'Joginder Tuteja']"
",Aditya Pancholi,Kimi Katkar,Moushumi Chatterjee",Taqdeer Ka Tamasha,"['Aditya Pancholi', 'Kimi Katkar', 'Moushumi Chatterjee']"
",Anita Raj,Raj Babbar,Mehul Kumar,Rajesh Roshan,Kumar Sanu,Shabbir Kumar,Sadhna Sargam,Mohammed Aziz",Asmaan Se Ooncha,"['Anita Raj', 'Raj Babbar', 'Mehul Kumar', 'Rajesh Roshan', 'Kumar Sanu', 'Shabbir Kumar', 'Sadhna Sargam', 'Mohammed Aziz']"
",Naseeruddin Shah,Paresh Rawal,Annu Kapoor,Shah,Omid Djalili",Dharam Sankat Mein,"['Naseeruddin Shah', 'Paresh Rawal', 'Annu Kapoor', 'Shah', 'Omid Djalili']"
",Aruna Irani",Bandh Darwaza,['Aruna Irani']
",Mira Nair,Sooni Taraporevala,Raghuvir Yadav,Irrfan Khan,Nana Patekar,Anita Kanwar",Salaam Bombay!,"['Mira Nair', 'Sooni Taraporevala', 'Raghuvir Yadav', 'Irrfan Khan', 'Nana Patekar', 'Anita Kanwar']"
",Sam Houser,Terry Donovan,Donovan,Max Payne,Gary Dale",Rockstar,"['Sam Houser', 'Terry Donovan', 'Donovan', 'Max Payne', 'Gary Dale']"
",Harish,Amrita Singh,Anil Kapoor,Basu Chatterjee,Satyen Kappu,Annu Kapoor,Amjad Khan",Chameli Ki Shaadi,"['Harish', 'Amrita Singh', 'Anil Kapoor', 'Basu Chatterjee', 'Satyen Kappu', 'Annu Kapoor', 'Amjad Khan']"
",Jaishankar,Ilayaraja,D. Ramanaidu",Aaj Ka Dada,"['Jaishankar', 'Ilayaraja', 'D. Ramanaidu']"
",Shivani Dutt,Arjun Rampal,Chunky Pandey,Marc Levy,Boman Irani,Sonali Kulkarni,Sophie Chaudhary",I See You,"['Shivani Dutt', 'Arjun Rampal', 'Chunky Pandey', 'Marc Levy', 'Boman Irani', 'Sonali Kulkarni', 'Sophie Chaudhary']"
",Sunny Deol,Bobby Deol,Dharmendra,Rekha,Salman Khan",Yamla Pagla Deewana,"['Sunny Deol', 'Bobby Deol', 'Dharmendra', 'Rekha', 'Salman Khan']"
",Kareena Kapoor,Jugal Hansraj,Yash Chopra,Aditya Chopra,Jaaved Jaffrey",Roadside Romeo,"['Kareena Kapoor', 'Jugal Hansraj', 'Yash Chopra', 'Aditya Chopra', 'Jaaved Jaffrey']"
",Jean-Paul Sartre",The Waiting Room,['Jean-Paul Sartre']
",Anil Kapoor,Javed Jaffrey,A. K. Hangal,Amrish Puri,Subhash Ghai,Girish Karnad,Meenakshi Sheshadri",Meri Jung,"['Anil Kapoor', 'Javed Jaffrey', 'A. K. Hangal', 'Amrish Puri', 'Subhash Ghai', 'Girish Karnad', 'Meenakshi Sheshadri']"
",Ramji Londonwaley,Ramji,R. Madhavan,Amitabh Bachhan",Ramji Londonwale,"['Ramji Londonwaley', 'Ramji', 'R. Madhavan', 'Amitabh Bachhan']"
",Raj Khanna,Prabhu Deva,Sonu Sood,Murali Sharma",Abhinetri,"['Raj Khanna', 'Prabhu Deva', 'Sonu Sood', 'Murali Sharma']"
",Rekha,Rakesh Roshan,Raj Babbar,Sangeeta,Amol Palekar,Tatineni Rama Rao,Simple Kapadia",Jeevan Dhaara,"['Rekha', 'Rakesh Roshan', 'Raj Babbar', 'Sangeeta', 'Amol Palekar', 'Tatineni Rama Rao', 'Simple Kapadia']"
",Durga Puja,Vyasa",Dharm,"['Durga Puja', 'Vyasa']"
",Ronnie Screwvala,Amit Trivedi,Anupama Chopra",Luv Shuv Tey Chicken Khurana,"['Ronnie Screwvala', 'Amit Trivedi', 'Anupama Chopra']"
",Paresh Rawal,Nana Patekar,Shreyas Talpade,Rajpal Yadav",Kamaal Dhamaal Malamaal,"['Paresh Rawal', 'Nana Patekar', 'Shreyas Talpade', 'Rajpal Yadav']"
",Shashi Kapoor,Sharmila Tagore,Raj Babbar,David Abraham,Parveen Babi,Bobita",Gehri Chot: Urf - Door-Desh,"['Shashi Kapoor', 'Sharmila Tagore', 'Raj Babbar', 'David Abraham', 'Parveen Babi', 'Bobita']"
",Juhi Chawla,Chiranjeevi,Kodi Rama Krishna,J. V. Somayajulu",Pratibandh,"['Juhi Chawla', 'Chiranjeevi', 'Kodi Rama Krishna', 'J. V. Somayajulu']"
",Raveena Tandon,Nana Patekar,Rajesh Roshan,Anand Bakshi,Subhash Ghai",Ghulam-E-Mustafa,"['Raveena Tandon', 'Nana Patekar', 'Rajesh Roshan', 'Anand Bakshi', 'Subhash Ghai']"
",Bhupen Hazarika,Mithun Chakraborty,Anuj Sawhney,Sushmita Sen",Chingaari,"['Bhupen Hazarika', 'Mithun Chakraborty', 'Anuj Sawhney', 'Sushmita Sen']"
",Sunny Deol,Neha Sharma,Bobby Deol,Sangeeth Sivan",Yamla Pagla Deewana 2,"['Sunny Deol', 'Neha Sharma', 'Bobby Deol', 'Sangeeth Sivan']"
",Mithun Chakraborty",Billa No. 786,['Mithun Chakraborty']
",Abdul Sattar Khan,Madan Lal,Farooq Shaikh,Deepti Naval",Ek Baar Chale Aao,"['Abdul Sattar Khan', 'Madan Lal', 'Farooq Shaikh', 'Deepti Naval']"
",Shilpa Anand,K. Ravi Shankar,Arbaaz Khan",Iqraar By Chance,"['Shilpa Anand', 'K. Ravi Shankar', 'Arbaaz Khan']"
",Madhuri Dixit,Antara Mali,Chandan Arora,Ram Gopal Varma,Rajpal Yadav",Main Madhuri Dixit Banna Chahti Hoon,"['Madhuri Dixit', 'Antara Mali', 'Chandan Arora', 'Ram Gopal Varma', 'Rajpal Yadav']"
",Nandita Das,Anoop Soni,N. Chandra,Om Puri,Vishal Bhardwaj,Soni,Gulzar,Sudhir Mishra,Govind Nihalani",Kagaar: Life on the Edge,"['Nandita Das', 'Anoop Soni', 'N. Chandra', 'Om Puri', 'Vishal Bhardwaj', 'Soni', 'Gulzar', 'Sudhir Mishra', 'Govind Nihalani']"
",Neetu Singh,Prem Chopra,Rajesh Khanna,Anand Bakshi,R.D. Burman",Maha Chor,"['Neetu Singh', 'Prem Chopra', 'Rajesh Khanna', 'Anand Bakshi', 'R.D. Burman']"
",Neha Dhupia,Harry Baweja,Chunky Pandey,Priyanka Chopra,Sunil Shetty,Aashish Chaudhary",Qayamat: City Under Threat,"['Neha Dhupia', 'Harry Baweja', 'Chunky Pandey', 'Priyanka Chopra', 'Sunil Shetty', 'Aashish Chaudhary']"
",Rituparna Sengupta",Drishti,['Rituparna Sengupta']
",Richard Brautigan,John Steinbeck",A Wednesday!,"['Richard Brautigan', 'John Steinbeck']"
",Ram,Yugo Sako",The Prince of Light,"['Ram', 'Yugo Sako']"
",Nana Patekar,Yashpal Sharma,Revathi,Shimit Amin,Mohan Agashe,Ram Gopal Varma,Hrishitaa Bhatt",Ab Tak Chhappan 2,"['Nana Patekar', 'Yashpal Sharma', 'Revathi', 'Shimit Amin', 'Mohan Agashe', 'Ram Gopal Varma', 'Hrishitaa Bhatt']"
",John Paul,Justin Martyr,Augustus",Sunday,"['John Paul', 'Justin Martyr', 'Augustus']"
",Dolly Ahluwalia,Vishal Bhardwaj,Saif Ali Khan,Kareena Kapoor,Bipasha Basu,Aamir Khan,Vivek Oberoi,Sushmita Sen",Omkara,"['Dolly Ahluwalia', 'Vishal Bhardwaj', 'Saif Ali Khan', 'Kareena Kapoor', 'Bipasha Basu', 'Aamir Khan', 'Vivek Oberoi', 'Sushmita Sen']"
",Uttam Singh,Anand Bakshi,Paresh Rawal,Dimple Kapadia",Hum Tum Pe Marte Hain,"['Uttam Singh', 'Anand Bakshi', 'Paresh Rawal', 'Dimple Kapadia']"
",Akshay Kumar,Saif Ali Khan",Tu Chor Main Sipahi,"['Akshay Kumar', 'Saif Ali Khan']"
",Meenakshi Sheshadri,Shatrughan Sinha,Jeetendra,Kader Khan,Bappi Lahiri,Mohan Babu,Jaya Prada,Shakti Kapoor",Hoshiyar,"['Meenakshi Sheshadri', 'Shatrughan Sinha', 'Jeetendra', 'Kader Khan', 'Bappi Lahiri', 'Mohan Babu', 'Jaya Prada', 'Shakti Kapoor']"
",Pinky Perizaad Zorabian,Swarnalatha,Shabana Azmi,Mahesh Dattani,Lillete Dubey,Rajiv Menon,Appa Rao,A. Sreekar Prasad",Morning Raga,"['Pinky Perizaad Zorabian', 'Swarnalatha', 'Shabana Azmi', 'Mahesh Dattani', 'Lillete Dubey', 'Rajiv Menon', 'Appa Rao', 'A. Sreekar Prasad']"
",Max Müller",Om,['Max Müller']
",Sridevi,Balu Mahendra,Kamal Hassan",Sadma,"['Sridevi', 'Balu Mahendra', 'Kamal Hassan']"
",Raghu Romeo,Vijay Raaz,Maria Goretti,Saurabh Shukla,Rajat Kapoor,Manu Rishi",Raghu Romeo,"['Raghu Romeo', 'Vijay Raaz', 'Maria Goretti', 'Saurabh Shukla', 'Rajat Kapoor', 'Manu Rishi']"
",Akshay Kumar,Amitabh Bachchan,Shefali Shah,Vipul Shah,Priyanka Chopra,Anu Malik,Boman Irani",Waqt: The Race Against Time,"['Akshay Kumar', 'Amitabh Bachchan', 'Shefali Shah', 'Vipul Shah', 'Priyanka Chopra', 'Anu Malik', 'Boman Irani']"
",Rama,Bhima",Hanuman,"['Rama', 'Bhima']"
",Rekha,Jaidev,Amrita Singh,Farah Naaz,Aditya Pancholi",Veeru Dada,"['Rekha', 'Jaidev', 'Amrita Singh', 'Farah Naaz', 'Aditya Pancholi']"
",Dibakar Banerjee,Ekta Kapoor,Sneha Khanwalkar",Love Sex aur Dhokha,"['Dibakar Banerjee', 'Ekta Kapoor', 'Sneha Khanwalkar']"
",Jackie Shroff,Mukesh Rishi,Raza Murad,Shakti Kapoor,Dipti Bhatnagar,Mithun Chakraborty,Johnny Lever,Dalip Tahil",Ganga Ki Kasam,"['Jackie Shroff', 'Mukesh Rishi', 'Raza Murad', 'Shakti Kapoor', 'Dipti Bhatnagar', 'Mithun Chakraborty', 'Johnny Lever', 'Dalip Tahil']"
",Raunakbhai Paresh Rawal,Bappi Lahiri,Johnny Lever",Hahakaar,"['Raunakbhai Paresh Rawal', 'Bappi Lahiri', 'Johnny Lever']"
",Amitabh Bachchan,Anant Mahadevan,Rahul Roy,Firoz Nadiadwala,Asrani",Hanste Khelte,"['Amitabh Bachchan', 'Anant Mahadevan', 'Rahul Roy', 'Firoz Nadiadwala', 'Asrani']"
",Amol Palekar,Shreeram Lagoo,Jalal Agha",Gharaonda,"['Amol Palekar', 'Shreeram Lagoo', 'Jalal Agha']"
",Akkineni Nageswara Rao,Jeetendra,K. Pratyagatma",Ek Nari Ek Brahmachari,"['Akkineni Nageswara Rao', 'Jeetendra', 'K. Pratyagatma']"
",Shah Rukh Khan,Rani Mukerji,Salman Khan,Aziz Mirza,Alka Yagnik,Abhijeet Bhattacharya",Chalte Chalte,"['Shah Rukh Khan', 'Rani Mukerji', 'Salman Khan', 'Aziz Mirza', 'Alka Yagnik', 'Abhijeet Bhattacharya']"
",Thakur Vikram Singh,Ravindra Jain,Hema Malini,Jeetendra",Hum Tere Ashiq Hain,"['Thakur Vikram Singh', 'Ravindra Jain', 'Hema Malini', 'Jeetendra']"
",Arjun Singh,Amisha Patel,Sunny Deol,Asha Bhonsle,Michael Powell,Harry Baweja,Mukesh Tiwari,Mukesh Rishi,Abrar Ul Haq,Aarti Chabaria,Sukhshinder Shinda,Neha Dhupia,Murli Sharma,Aashish Chaudhary",Teesri Aankh: The Hidden Camera,"['Arjun Singh', 'Amisha Patel', 'Sunny Deol', 'Asha Bhonsle', 'Michael Powell', 'Harry Baweja', 'Mukesh Tiwari', 'Mukesh Rishi', 'Abrar Ul Haq', 'Aarti Chabaria', 'Sukhshinder Shinda', 'Neha Dhupia', 'Murli Sharma', 'Aashish Chaudhary']"
",Manisha Koirala,Chunky Pandey,Subhash Ghai,Uma Devi,Sushma Seth,Gulshan Grover,Danny Denzongpa,Dalip Tahil",First Love Letter,"['Manisha Koirala', 'Chunky Pandey', 'Subhash Ghai', 'Uma Devi', 'Sushma Seth', 'Gulshan Grover', 'Danny Denzongpa', 'Dalip Tahil']"
",Sunil Shetty,Jeetendra,Mukesh Khanna,Kiran Kumar",Judge Mujrim,"['Sunil Shetty', 'Jeetendra', 'Mukesh Khanna', 'Kiran Kumar']"
",Hrithik Roshan,Sonam Kapoor,Rakeysh Omprakash Mehra,Abhishek Bachchan,A. R. Rahman,Waheeda Rahman,Rishi Kapoor,Divya Dutta,Nargis Dutt,Atul Kulkarni",Delhi-6,"['Hrithik Roshan', 'Sonam Kapoor', 'Rakeysh Omprakash Mehra', 'Abhishek Bachchan', 'A. R. Rahman', 'Waheeda Rahman', 'Rishi Kapoor', 'Divya Dutta', 'Nargis Dutt', 'Atul Kulkarni']"
",Mithun Chakraborty,Anand Bakshi,Naseeruddin Shah,Varsha Usgaonkar",Shikari: The Hunter,"['Mithun Chakraborty', 'Anand Bakshi', 'Naseeruddin Shah', 'Varsha Usgaonkar']"
",Mamta Kulkarni,Deepa Sahi,Rahul Roy,Jeetendra,Suresh Oberoi",Bhookamp,"['Mamta Kulkarni', 'Deepa Sahi', 'Rahul Roy', 'Jeetendra', 'Suresh Oberoi']"
",Neena Gupta,Shakti Kapoor,Sunny Deol,Prem Chopra,Shibu Mitra,Aruna Irani,Jaya Prada,Satyen Kappu",Veerta,"['Neena Gupta', 'Shakti Kapoor', 'Sunny Deol', 'Prem Chopra', 'Shibu Mitra', 'Aruna Irani', 'Jaya Prada', 'Satyen Kappu']"
",Kamal Haasan,Satyen Kappu",Yeh To Kamaal Ho Gaya,"['Kamal Haasan', 'Satyen Kappu']"
",Kajol,Kamal Sadanah,Vijayendra Ghatge,Saif Ali Khan,Amrita Singh",Bekhudi,"['Kajol', 'Kamal Sadanah', 'Vijayendra Ghatge', 'Saif Ali Khan', 'Amrita Singh']"
",Jackie Shroff,Anupama Chopra,Vikram Singh,Sajid Nadiadwala,Mustafa Zahid",Heropanti,"['Jackie Shroff', 'Anupama Chopra', 'Vikram Singh', 'Sajid Nadiadwala', 'Mustafa Zahid']"
",Sajid Khan,Akshay Kumar,Fardeen Khan,Vidya Balan,Boman Irani",Heyy Babyy,"['Sajid Khan', 'Akshay Kumar', 'Fardeen Khan', 'Vidya Balan', 'Boman Irani']"
",Rishi Kapoor,A. K. Hangal,Reena Roy",Badalte Rishtey,"['Rishi Kapoor', 'A. K. Hangal', 'Reena Roy']"
",Diya Mirza,Sunil Shetty,Apoorva Lakhia,Abhishek Bachchan",Shootout at Lokhandwala,"['Diya Mirza', 'Sunil Shetty', 'Apoorva Lakhia', 'Abhishek Bachchan']"
",Udit Narayan,Kader Khan,Jackie Shroff,Shakti Kapoor,Aditya Pancholi",Dus Numbri,"['Udit Narayan', 'Kader Khan', 'Jackie Shroff', 'Shakti Kapoor', 'Aditya Pancholi']"
",Shweta Menon,James Hadley Chase,Atul Kulkarni,Rahul Dev,Sanjay Singh",88 Antop Hill,"['Shweta Menon', 'James Hadley Chase', 'Atul Kulkarni', 'Rahul Dev', 'Sanjay Singh']"
",Rajesh Khanna,Sharmila Tagore,Prem Chopra,Yash Chopra,Thomas Hardy,Madan Puri,Akkineni Nageswara Rao,Sahir Ludhianvi,Kader Khan,Raakhee,A.K. Hangal,Vanisri",Daag: A Poem of Love,"['Rajesh Khanna', 'Sharmila Tagore', 'Prem Chopra', 'Yash Chopra', 'Thomas Hardy', 'Madan Puri', 'Akkineni Nageswara Rao', 'Sahir Ludhianvi', 'Kader Khan', 'Raakhee', 'A.K. Hangal', 'Vanisri']"
",Emperor Ashoka,Chandragupta Maurya,Kunala",Asoka,"['Emperor Ashoka', 'Chandragupta Maurya', 'Kunala']"
",Thakur Baldev Singh,Amitabh Bachchan,Anupama Chopra,Ramesh Sippy,Dharmendra,George Roy Hill,Amjad Khan,Comedian Jagdeep",Sholay,"['Thakur Baldev Singh', 'Amitabh Bachchan', 'Anupama Chopra', 'Ramesh Sippy', 'Dharmendra', 'George Roy Hill', 'Amjad Khan', 'Comedian Jagdeep']"
",Ashutosh Rana,Govind Nihalani",Sanshodhan,"['Ashutosh Rana', 'Govind Nihalani']"
",Saeed Jaffrey,Raj Babbar,Satish Shah,Mithun Chakraborty,Poonam Dhillon",Hisaab Khoon Ka,"['Saeed Jaffrey', 'Raj Babbar', 'Satish Shah', 'Mithun Chakraborty', 'Poonam Dhillon']"
",Shilpa Shukla,Rajkumar Hirani,Sudhir Mishra,Swanand Kirkire",Crazy Cukkad Family,"['Shilpa Shukla', 'Rajkumar Hirani', 'Sudhir Mishra', 'Swanand Kirkire']"
",Sanjay Dutt,Sunil Dutt,Arshad Warsi,Rajkumar Hirani,Vidhu Vinod Chopra,Boman Irani,Gracy Singh,Abbas Tyrewala",Munna Bhai M.B.B.S.,"['Sanjay Dutt', 'Sunil Dutt', 'Arshad Warsi', 'Rajkumar Hirani', 'Vidhu Vinod Chopra', 'Boman Irani', 'Gracy Singh', 'Abbas Tyrewala']"
",Abhishek Bachchan,Anuradha Paudwal,Babul Supriyo",Dhaai Akshar Prem Ke,"['Abhishek Bachchan', 'Anuradha Paudwal', 'Babul Supriyo']"
",Kumar Gaurav,Mithun Chakraborty,Sunil Dutt,Ravi Chopra",Pratigyabadh,"['Kumar Gaurav', 'Mithun Chakraborty', 'Sunil Dutt', 'Ravi Chopra']"
",Shah Rukh Khan,Kumar Sanu,Juhi Chawla,Kashmira Shah,Aditya Pancholi,Aziz Mirza,Javed Akhtar,Abhijeet Bhattacharya,Reema Lagoo,Gulshan Grover,Udit Narayan",Yes Boss,"['Shah Rukh Khan', 'Kumar Sanu', 'Juhi Chawla', 'Kashmira Shah', 'Aditya Pancholi', 'Aziz Mirza', 'Javed Akhtar', 'Abhijeet Bhattacharya', 'Reema Lagoo', 'Gulshan Grover', 'Udit Narayan']"
",Rizwan,Rizwan Khan,Zayed Khan,Vivek Oberoi,Apoorva Lakhia,Shriya Saran,Tusshar Kapoor,Abhishek Bachchan",Mission Istaanbul,"['Rizwan', 'Rizwan Khan', 'Zayed Khan', 'Vivek Oberoi', 'Apoorva Lakhia', 'Shriya Saran', 'Tusshar Kapoor', 'Abhishek Bachchan']"
